title,date,text,name
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,    I do.,brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Good morning, Chairman Johnson, Ranking _x000D_
Member Carper, and other Members of the Committee. I am honored _x000D_
to be here today to discuss the Coast Guard's role in securing _x000D_
our Nation's borders. I thank you for your strong support of _x000D_
the Coast Guard and our men and women in uniform._x000D_
---------------------------------------------------------------------------_x000D_
    \1\ The prepared statement of Rear Admiral Brown appears in the _x000D_
Appendix on page 1446._x000D_
---------------------------------------------------------------------------_x000D_
    It is also a pleasure to be here with two of our most _x000D_
important partners in maritime border security: Customs and _x000D_
Border Protection and U.S. Immigration and Customs Enforcement._x000D_
    The Coast Guard's success is due in no part to the _x000D_
partnerships that we have with these two organizations, and I _x000D_
would personally like to thank both Executive Director Edge and _x000D_
Assistant Commissioner Alles for their ongoing support and _x000D_
leadership._x000D_
    My complete statement has been provided to the Committee, _x000D_
and I would ask that it be entered into the record._x000D_
    Mr. Chairman, maintaining border security while _x000D_
facilitating lawful travel and trade is a fundamental national _x000D_
security interest, requiring comprehensive, coordinated efforts _x000D_
across many departments and agencies and, in particular, the _x000D_
Department of Homeland Security (DHS). As members of the _x000D_
Committee are aware, over 90 percent of global trade travels _x000D_
through maritime conveyances, making the safety and security of _x000D_
our maritime borders both an economic and national security _x000D_
imperative._x000D_
    The Coast Guard conducts operations every day to protect, _x000D_
prevent, and respond to a broad range of maritime border _x000D_
security threats, including illicit trafficking of narcotics _x000D_
and people by organized criminal networks, undocumented _x000D_
migration, the exploitation of our natural resources, potential _x000D_
terrorist activities, and the disruption of maritime commerce. _x000D_
So our strategy is to secure the borders in a layered defense, _x000D_
one that engages with foreign partners and takes action far _x000D_
from U.S. shores where threats to security and national _x000D_
sovereignty emanate. Our strategy focuses on exerting our _x000D_
unique authorities and capabilities in the maritime domain _x000D_
before those threats land in our ports, on our beaches, or at _x000D_
our borders._x000D_
    Overseas, the Coast Guard assesses foreign port security _x000D_
and the antiterrorism measures of international trading _x000D_
partners through the International Port Security Program. These _x000D_
activities aim to ensure that cargo bound for the United States _x000D_
meets all United States and international security standards. _x000D_
Additionally, in coordination with Customs and Border _x000D_
Protection, we receive and screen notices of arrival for both _x000D_
cargo and personnel long before commercial vessels arrive in _x000D_
the United States. We have liaison and attache officers posted _x000D_
at multiple embassies overseas and facilitate action across the _x000D_
full spectrum of maritime governance._x000D_
    Closer to shore, using our major cutters, maritime patrol _x000D_
aircraft, armed helicopters, and law enforcement detachments, _x000D_
we deploy assets to intercept those threats where they are most _x000D_
vulnerable: at sea. Along with our national security cutters, _x000D_
the Coast Guard's essential effort to recapitalize its fleet _x000D_
through the Offshore Patrol Cutter Acquisition Project will _x000D_
ensure that the Coast Guard is capable of projecting vital law _x000D_
enforcement presence on the high seas, in the 200-mile U.S. _x000D_
Exclusive Economic Zone, in our customs waters, and in our _x000D_
territorial seas for decades to come._x000D_
    The Coast Guard is the only U.S. Government component that _x000D_
has at all times both defense and law enforcement authority and _x000D_
is able to make inquiries, examinations, inspections, searches, _x000D_
seizures, and arrests for violation of U.S. laws both on the _x000D_
high seas and in U.S. waters. By maintaining that overt _x000D_
presence offshore and in the littoral region, the Coast Guard _x000D_
has interdicted more than 2,600 undocumented migrants this year _x000D_
alone and deterred many more from taking to the sea in _x000D_
dangerously overcrowded and unseaworthy vessels._x000D_
    Likewise, just this past June, the Coast Guard conducted 22 _x000D_
maritime interdictions, supported by CBP and others, that _x000D_
resulted in the detention of more than 60 suspects and removed _x000D_
more than 14 metric tons of pure uncut cocaine. In one case, _x000D_
our new national security cutter Stratton, using onboard _x000D_
sensors and law enforcement intelligence gained from other _x000D_
interdictions, located and seized a semi-submersible vessel _x000D_
with 2.8 metric tons of cocaine in the Pacific Ocean. This _x000D_
product was ultimately destined for the United States and would _x000D_
have left a trail of corruption, instability, and death as it _x000D_
moved through Central America and Mexico._x000D_
    Through a single month of interdictions, the Coast Guard _x000D_
denied criminal networks more than $480 million in wholesale _x000D_
drug proceeds and profits. Cases such as these that result in _x000D_
the detection and prosecution of traffickers generate _x000D_
additional actionable intelligence and fuel our cycle of _x000D_
success. Over the last decade, law enforcement intelligence _x000D_
gained from Coast Guard interdictions contributed to the arrest _x000D_
and extradition of nearly 75 percent of all drug kingpins who _x000D_
were extradited to the United States._x000D_
    Successfully patrolling and enforcing the maritime border _x000D_
requires a strategic outlook, tactical execution, and _x000D_
Department of Homeland Security unity of effort. Along the _x000D_
Southern Border, the Coast Guard operates within a new DHS _x000D_
Southern Border and Approaches Campaign Plan. The three task _x000D_
forces set up under the Campaign Plan--Joint Task Forces East, _x000D_
West, and Investigations--operate cooperatively to maintain _x000D_
effective border security, and Coast Guard Vice Admiral Dean _x000D_
Lee is the Director for the Joint Task Force East._x000D_
    In addition, the Commandant, Admiral Zukunft, has signed _x000D_
the Coast Guard Western Hemisphere Strategy that outlines three _x000D_
priorities: combating networks, securing borders, and _x000D_
safeguarding commerce._x000D_
    Thank you, sir.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Yes, sir. The estimate that we have a _x000D_
national target of reducing about 40 percent of the cocaine _x000D_
supply approaching the United States. That is the nationally _x000D_
set target. It has been a graduated target. It is 36 percent _x000D_
this year. It is moving up toward 40 percent._x000D_
    Over the past several years, we have averaged between about _x000D_
11 and 18 percent in terms of maritime interdictions of the _x000D_
known drug flow toward the United States. One of the challenges _x000D_
of that, as was mentioned earlier with regard to maritime _x000D_
domain awareness, is this is illicit activity that is trying to _x000D_
be concealed for detection. So our confidence in what we call _x000D_
the denominator of that, the actual flow, is somewhat limited, _x000D_
but based on best estimates of the intelligence community (IC) _x000D_
and the law enforcement community, in the maritime we interdict _x000D_
in the range of 11 to 18 percent. For the Coast Guard it has _x000D_
been about 450 metric tons over the past 5 years.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Yes, Senator. I would add that in the _x000D_
maritime domain, we have seen relatively small quantities of _x000D_
heroin, typically mixed in with loads of cocaine. For example, _x000D_
just about a month or so ago, we had an interdiction of a bulk _x000D_
quantity of cocaine, several hundred kilos, off the coast of _x000D_
Central America, and embedded within one of those cocaine _x000D_
packages was approximately 10 kilograms of heroin. We have also _x000D_
seen that on the Caribbean side, again, in relatively small _x000D_
quantities. But as Mr. Alles mentioned, the vast majority of _x000D_
heroin that comes into the United States does so across the _x000D_
land border, not a maritime border. But our Intelligence _x000D_
Community remains alert to instances of heroin trafficking in _x000D_
the maritime, and to the extent that we can, we interdict those _x000D_
when we know they are coming.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    I will try to be brief, Senator. The first _x000D_
one is support for the recapitalization of our offshore patrol _x000D_
fleet, specifically the offshore patrol cutter acquisition. And _x000D_
kind of following up on Senator Ayotte's question before, what _x000D_
would it take for us to be more effective, our effectiveness in _x000D_
our maritime interdiction role is based really on three things:_x000D_
    Information, actionable intelligence. That is generated _x000D_
primarily through General Kelly's command, U.S. Southern _x000D_
Command (SOUTHCOM), and their Joint Interagency Task Force _x000D_
South (JIATF-S)._x000D_
    Aviation. We need fixed-wing air support to locate the _x000D_
targets that JIATF points us to. That is a combination of CBP _x000D_
aircraft, Coast Guard aircraft, and partner nation aircraft._x000D_
    And then we need ships on station, and our long-range _x000D_
cutters, our high-endurance cutters, medium-endurance cutters, _x000D_
and the new national security cutter. And the future OPC _x000D_
equipped with a helicopter flight deck, an airborne use-of-_x000D_
force helicopter, multiple pursuit boats, and a seasoned Coast _x000D_
Guard crew and boarding teams are the most effective package in _x000D_
interdicting these threats, whether drug-trafficking threats, _x000D_
migrant-trafficking threats, or whether those criminal pathways _x000D_
are ultimately used for terrorism.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    We are still examining the marks between the _x000D_
Senate and the House on the----",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    We believe there is sufficient _x000D_
appropriations to continue with our acquisition program of _x000D_
record to recapitalize the fleet. Obviously if we had more, we _x000D_
could do better, but they are sufficient to recapitalize on our _x000D_
program of record which will give us 8 national security _x000D_
cutters, 25 offshore patrol cutters, and 58 fast response _x000D_
cutters for coastal operations.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    That is correct. Our program of record is _x000D_
for the eight national security cutters that are already _x000D_
budgeted for and the offshore patrol cutter that is currently _x000D_
in preliminary design, and that acquisition will stretch out _x000D_
over a number of years into the future as our current medium-_x000D_
endurance cutters approach, some of them have exceeded, and all _x000D_
of them will ultimately exceed 50 years in service before they _x000D_
are retired as these new cutters replace them.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    Certainly. As I mentioned earlier, the Joint _x000D_
Interagency Task Force South, a DOD command under the _x000D_
leadership of General Kelly and his SOUTHCOM command, has the _x000D_
lawful responsibility for detecting and monitoring illicit _x000D_
traffic coming toward the United States. They do that using _x000D_
both national intelligence means and law enforcement _x000D_
intelligence from not only other complements of DHS but also _x000D_
the Department of Justice (DOJ) and numerous foreign partners. _x000D_
We have terrific foreign cooperation down there that alerts _x000D_
JIATF South to literally thousands of drug movements toward the _x000D_
United States every year._x000D_
    However, as we talked about, we are resource constrained in _x000D_
terms of aviation and surface ships so that only roughly 35 to _x000D_
40 percent of those targets, of those potential targets _x000D_
actually become active targets searched for with aircraft._x000D_
    So the intelligence systems work very well. They do a great _x000D_
job of fusing national level intelligence with law enforcement _x000D_
intelligence, and we have multiple partnerships to keep that _x000D_
happening.",brown
BORDER SECURITY_2015 (VOLUME  2 OF 2),9/14/2015,"    I think if I may, Senator, I will tackle the _x000D_
precursors issue. We have talked a lot about the Joint _x000D_
Interagency Task Force South, which is focused in the Western _x000D_
Hemisphere, looking primarily at cocaine production coming from _x000D_
South America toward the United States. DOD also has a Joint _x000D_
Interagency Task Force West, based in Hawaii and looking _x000D_
westward toward Asia, the source of many of these precursor _x000D_
chemicals. One of their primary duties is to track those _x000D_
precursors as they approach Central America. It used to mostly _x000D_
be Mexico, now it is mostly Guatemala. And so they do a _x000D_
reasonably effective job of tracking those precursors. Mexico _x000D_
has clamped down substantially on precursor chemicals coming _x000D_
through that country. Now they are going to Guatemala._x000D_
    So as part of the Southern Border and Approaches Campaign _x000D_
Plan and part of the wider Central America strategy for the _x000D_
entirety of the Federal Government, we are looking to, with _x000D_
multiple partners, improve the governance across Guatemala and _x000D_
the other countries in Central America so they can improve _x000D_
their own port security and do a better job of clamping down _x000D_
both on precursor chemicals and on production.",brown
